,x,y
0,20.0,63.73702457697006
1,20.005,63.062691634490484
2,20.01,62.68103247881477
3,20.015,62.5580165566938
4,20.02,62.098850958363826
5,20.025,62.612521590526626
6,20.03,62.01949589476457
7,20.035,61.33239669271934
8,20.04,62.80258228044567
9,20.045,61.07535789008972
10,20.05,60.167228083840996
11,20.055,62.799227688107585
12,20.06,62.73352049835917
13,20.065,63.36450924667249
14,20.07,60.46738798774823
15,20.075,60.421097310392
16,20.08,64.24949582075845
17,20.085,61.86604360690276
18,20.09,62.110475475244684
19,20.095,62.20701991760044
20,20.1,61.35189964965291
21,20.105,60.53292739990263
22,20.11,62.612056775131734
23,20.115,63.698887530764274
24,20.12,61.75552490247972
25,20.125,60.97172080318646
26,20.13,61.23599699790661
27,20.135,60.8814982625472
28,20.14,63.269596869775405
29,20.145,61.625368273173684
30,20.15,61.07863174241665
31,20.155,61.40387486622883
32,20.16,62.84196941489847
33,20.165,64.6826153297446
34,20.17,64.6785716745628
35,20.175,63.33398645177381
36,20.18,62.69074056471035
37,20.185,62.23743681527556
38,20.19,61.253235214972385
39,20.195,63.43399922726306
40,20.2,63.677074982995094
41,20.205,62.55319942839614
42,20.21,62.51645407393218
43,20.215,62.321542125186234
44,20.22,61.542375589210735
45,20.225,62.830921058821545
46,20.23,61.68867374847868
47,20.235,62.00668591298541
48,20.24,63.522526619075265
49,20.245,61.96609477225964
50,20.25,62.195689204493604
51,20.255,62.602754944447454
52,20.26,60.70795246445225
53,20.265,63.092045628298436
54,20.27,62.38916246860397
55,20.275,61.6066074835439
56,20.28,62.99825891747948
57,20.285,61.37876286836858
58,20.29,61.71809199715733
59,20.295,61.377665975439086
60,20.3,62.411147441358665
61,20.305,62.32846968209897
62,20.31,62.51510334499706
63,20.315,61.94919060671286
64,20.32,62.8911202987851
65,20.325,61.493225125685576
66,20.33,62.76472646414702
67,20.335,61.437417389335394
68,20.34,61.23140705808639
69,20.345,61.186777735297625
70,20.35,62.36138319362796
71,20.355,61.243449762077574
72,20.36,62.15797287328431
73,20.365,62.32454642894419
74,20.37,62.67689916432635
75,20.375,61.874554592361136
76,20.38,61.128470588795516
77,20.385,62.34965482211765
78,20.39,63.865080820173745
79,20.395,62.25465689854484
80,20.4,62.27469669822682
81,20.405,62.90226372136291
82,20.41,61.8560905134964
83,20.415,62.42078527012747
84,20.42,62.39326971941881
85,20.425,61.49785056201439
86,20.43,61.266983121811236
87,20.435,63.34017386675678
88,20.44,63.08661683067948
89,20.445,61.442228934890366
90,20.45,62.979128835573825
91,20.455,61.74405467977402
92,20.46,61.98571341101601
93,20.465,62.99028217142579
94,20.47,61.55626639988502
95,20.475,63.616835479867
96,20.48,62.86878012227451
97,20.485,61.47953887540257
98,20.49,62.03163651505653
99,20.495,62.45100186497581
100,20.5,63.551987430880864
101,20.505,62.652695361469114
102,20.51,63.89380609065505
103,20.515,62.305274027610736
104,20.52,61.07894563158631
105,20.525,61.23050640188815
106,20.53,61.78421266596316
107,20.535,63.5624959441856
108,20.54,62.779269837404364
109,20.545,63.01425066715571
110,20.55,63.323018043401376
111,20.555,61.924751129913034
112,20.56,62.85944083497686
113,20.565,63.55061076891443
114,20.57,64.7022392837585
115,20.575,63.36604138481158
116,20.58,62.02759827570837
117,20.585,62.61059491736413
118,20.59,62.55388545251762
119,20.595,60.97709729811176
120,20.6,62.6397720149938
121,20.605,62.90823339355502
122,20.61,62.92025202581925
123,20.615,63.850870705876005
124,20.62,61.35083000632312
125,20.625,62.797776520633505
126,20.63,62.28571487981098
127,20.635,61.51316955815727
128,20.64,62.5429119466709
129,20.645,63.76771718180841
130,20.65,62.04124563489826
131,20.655,61.77386395596305
132,20.66,62.59186583276251
133,20.665,63.612387284567646
134,20.67,62.649306708237845
135,20.675,63.40361263015549
136,20.68,62.80066816375849
137,20.685,62.02353599518118
138,20.69,64.00604934010735
139,20.695,61.784974833843684
140,20.7,62.64890988727687
141,20.705,62.19551390467322
142,20.71,62.82589446451041
143,20.715,62.18465624930819
144,20.72,63.26228119216579
145,20.725,63.139969117026965
146,20.73,63.596859686345425
147,20.735,61.589481888265624
148,20.74,63.26361618384956
149,20.745,62.310005142595834
150,20.75,64.15950183999821
151,20.755,62.19184067282971
152,20.76,64.47139280230319
153,20.765,62.56828931388057
154,20.77,63.06126723240212
155,20.775,62.72276712868896
156,20.78,63.50586742270532
